DIA=35, FLUID=Isobutane
COP_DATA:
51.29,3.3628
56.50,3.1303
61.71,2.9200
66.93,2.7285
72.14,2.5528
77.36,2.3907
82.57,2.2402
87.79,2.1000
93.00,1.9686
HEAT_DATA:
20.00,12.32
25.21,11.94
30.43,11.55
35.64,11.15
40.86,10.75
46.07,10.34
51.29,9.92
56.50,9.50
61.71,9.07
66.93,8.64
72.14,8.21
77.36,7.78
82.57,7.34
87.79,6.91
93.00,6.48
END_ENTRY

DIA=50, FLUID=DimethylEther
COP_DATA:
20.00,4.5029
25.21,4.1143
30.43,3.7843
35.64,3.5002
40.86,3.2526
46.07,3.0342
51.29,2.8395
56.50,2.6642
61.71,2.5051
66.93,2.3594
72.14,2.2250
77.36,2.0923
82.57,1.9796
87.79,1.8757
93.00,1.7729
HEAT_DATA:
20.00,20.84
25.21,20.25
30.43,19.64
35.64,19.03
40.86,18.40
46.07,17.77
51.29,17.12
56.50,16.47
61.71,15.81
66.93,15.14
72.14,14.42
77.36,12.02
82.57,11.55
87.79,11.79
93.00,10.59
END_ENTRY

